,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,-additional
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
257,Chigoziem Okonkwo,TEN,TE,23,1,0,0,0,0,0,0,1,-4,-4.00,0,1,1,11,11.00,0,0,0,0,,,1,1.7,1.7,1.2,,45,,OkonCh00
258,Nick Westbrook-Ikhine,TEN,WR,25,1,1,0,0,0,0,0,0,0,,0,2,1,13,13.00,0,0,0,0,,,1,2.3,2.3,1.8,,99,,WestNi00
259,Robert Woods,TEN,WR,30,1,1,0,0,0,0,0,0,0,,0,2,1,13,13.00,0,0,0,0,,,1,2.3,2.3,1.8,,100,,WoodRo02
260,Zach Pascal,PHI,WR,28,1,0,0,0,0,0,0,0,0,,0,1,1,7,7.00,0,0,0,0,,,1,1.7,1.7,1.2,,114,,PascZa00
261,Jaylen Warren,PIT,RB,24,1,0,0,0,0,0,0,3,7,2.33,0,1,0,0,,0,0,0,0,,,1,0.7,0.7,0.7,,65,,WarrJa01
262,Brandon Powell,LAR,WR,27,1,0,0,0,0,0,0,1,3,3.00,0,1,1,10,10.00,0,0,0,0,,,1,2.3,2.3,1.8,,101,,PoweBr00
263,Allen Robinson,LAR,WR,29,1,1,0,0,0,0,0,0,0,,0,2,1,12,12.00,0,0,0,0,,,1,2.2,2.2,1.7,,106,,RobiAl02
264,Mike Davis,BAL,RB,29,1,0,0,0,0,0,0,2,11,5.50,0,0,0,0,,0,1,0,0,,,1,1.1,1.1,1.1,,62,,DaviMi01
265,Justice Hill,BAL,RB,25,1,0,0,0,0,0,0,2,4,2.00,0,2,2,7,3.50,0,0,0,0,,,1,3.1,3.1,2.1,,63,,HillJu00
266,Patrick Ricard,BAL,RB,28,1,1,0,0,0,0,0,0,0,,0,1,1,7,7.00,0,0,0,0,,,1,1.7,1.7,1.2,,66,,RicaPa00
267,Sony Michel,LAC,RB,27,1,0,0,0,0,0,0,7,12,1.71,0,0,0,0,,0,0,0,0,,,1,1.2,1.2,1.2,,61,,MichSo00
268,Josh Palmer,LAC,WR,24,1,1,0,0,0,0,0,1,4,4.00,0,4,3,5,1.67,0,0,0,0,,,1,3.9,3.9,2.4,,110,,PalmJo00
269,Mike Williams,LAC,WR,28,1,1,0,0,0,0,0,0,0,,0,4,2,10,5.00,0,0,0,0,,,1,3.0,3.0,2.0,,108,,WillMi07
270,Ross Dwelley,SFO,TE,27,1,0,0,0,0,0,0,0,0,,0,2,1,11,11.00,0,0,0,0,,,1,2.1,2.1,1.6,,41,,DwelRo00
271,Tyler Kroft,SFO,TE,30,1,1,0,0,0,0,0,0,0,,0,2,1,9,9.00,0,0,0,0,,,1,1.9,1.9,1.4,,43,,KrofTy00
272,Cameron Brate,TAM,TE,31,1,1,0,0,0,0,0,0,0,,0,3,1,7,7.00,0,0,0,0,,,1,1.7,1.7,1.2,,46,,BratCa00
273,Russell Gage,TAM,WR,26,1,0,0,0,0,0,0,0,0,,0,2,2,13,6.50,0,0,0,0,,,1,3.3,3.3,2.3,,102,,GageRu00
274,Bryan Edwards,ATL,,24,1,1,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,119,,EdwaBr01
275,Damien Williams,ATL,RB,30,1,1,0,0,0,0,0,2,2,1.00,0,0,0,0,,0,0,0,0,,,,0.2,0.2,0.2,,72,,WillDa05
276,Reggie Gilliam,BUF,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,58,,GillRe00
277,Taiwan Jones,BUF,,34,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,76,,JoneTa00
278,Jake Kumerow,BUF,,30,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,120,,KumeJa00
279,Tommy Sweeney,BUF,,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,59,,SweeTo00
280,Chuba Hubbard,CAR,RB,23,1,0,0,0,0,0,0,1,3,3.00,0,0,0,0,,0,0,0,0,,,,0.3,0.3,0.3,,70,,HubbCh01
281,Giovanni Ricci,CAR,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,60,,RiccGi00
282,Andre Roberts,CAR,,34,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,121,,RobeAn00
283,Tommy Tremble,CAR,TE,22,1,0,0,0,0,0,0,0,0,,0,1,1,1,1.00,0,0,0,0,,,,1.1,1.1,0.6,,56,,TremTo00
284,Khari Blasingame,CHI,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,77,,BlasKh00
285,Ryan Griffin,CHI,,32,1,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,61,,GrifRy00
286,Cole Kmet,CHI,,23,1,1,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,62,,KmetCo00
287,Ihmir Smith-Marsette,CHI,,23,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,122,,SmitIh00
288,Chris Evans,CIN,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,78,,EvanCh02
289,Clark Harris,CIN,,38,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,63,,HarrCl20
290,Stanley Morgan Jr.,CIN,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,123,,MorgSt02
291,Drew Sample,CIN,TE,26,1,1,0,0,0,0,0,0,0,,0,1,1,2,2.00,0,0,0,0,,,,1.2,1.2,0.7,,54,,SampDr00
